症狀,建議中藥材,分類,可能副作用,不適用人群
傷風感冒頭痛發熱,荊芥,解表藥,過用致頭暈,陰虛火旺者
傷風感冒頭痛發熱,防風,解表藥,過用致出汗,自汗盜汗者
傷風感冒頭痛發熱,薄荷,解表藥,過量傷陰,陰虛內熱者
傷風感冒頭痛發熱,生薑,溫裡藥,陰虛者慎用,實熱者
風寒襲肺咳嗽流涕,麻黃,解表藥,高血壓慎用,高血壓患者
風寒襲肺咳嗽流涕,桂枝,解表藥,出汗過多者慎用,自汗體虛者
風寒襲肺咳嗽流涕,杏仁,止咳平喘,腸胃不適,孕婦
風寒襲肺咳嗽流涕,甘草,補氣藥,水腫者慎用,高血壓患者
脾虛腹脹,白朮,補氣藥,口乾便秘,實熱者
脾虛腹脹,茯苓,利水滲濕,腎虛者慎用,腎病患者
脾虛腹脹,陳皮,理氣藥,腸胃虛弱腹瀉,陰虛內熱者
脾虛腹脹,甘草,補氣藥,水腫者慎用,高血壓患者
脾胃虛弱,黨參,補氣藥,高血壓慎用,高血壓患者
脾胃虛弱,白朮,補氣藥,口乾便秘,實熱者
脾胃虛弱,茯苓,利水滲濕,腎虛者慎用,腎病患者
脾胃虛弱,砂仁,理氣藥,孕婦慎用,孕婦
下焦風熱,龍膽草,清熱燥濕,損胃氣,脾胃虛寒者
下焦風熱,黃柏,清熱燥濕,陰虛火旺者慎用,陰虛者
下焦風熱,澤瀉,利水滲濕,傷腎,腎虛者
下焦風熱,車前子,利水滲濕,久服傷精,孕婦
下焦濕熱,茯苓,利水滲濕,腎虛者慎用,腎病患者
下焦濕熱,澤瀉,利水滲濕,傷腎,腎虛者
下焦濕熱,豬苓,利水滲濕,虛寒者慎用,脾虛者
下焦濕熱,黃連,清熱燥濕,寒胃痛者慎用,胃寒者
心火上炎,黃連,清熱燥濕,寒胃痛者慎用,胃寒者
心火上炎,黃芩,清熱燥濕,腹瀉者慎用,脾虛者
心火上炎,蓮子心,清心安神,胃寒者慎用,心煩失眠者
心火上炎,竹葉,清熱藥,無副作用,無特殊限制
熱邪壅肺,桑白皮,清肺藥,氣虛慎用,陰虛肺熱者
熱邪壅肺,黃芩,清熱燥濕,腹瀉者慎用,脾虛者
熱邪壅肺,桔梗,化痰藥,咳嗽過甚,氣虛咳嗽者
熱邪壅肺,石膏,清熱藥,胃寒慎用,陰虛者
肝火旺盛,柴胡,疏肝解鬱,氣虛慎用,氣虛者
肝火旺盛,龍膽草,清熱燥濕,損胃氣,脾胃虛寒者
肝火旺盛,梔子,清熱瀉火,氣虛者慎用,脾虛便溏者
肝火旺盛,牡丹皮,清熱涼血,無明顯副作用,孕婦
胃火熾盛,黃連,清熱燥濕,寒胃痛者慎用,胃寒者
胃火熾盛,石膏,清熱藥,胃寒慎用,陰虛者
胃火熾盛,竹葉,清熱藥,無副作用,無特殊限制
胃火熾盛,梔子,清熱瀉火,氣虛者慎用,脾虛便溏者
膀胱有熱,車前子,利水滲濕,久服傷精,孕婦
膀胱有熱,滑石,無資料,無資料,無資料
膀胱有熱,茯苓,利水滲濕,腎虛者慎用,腎病患者
膀胱有熱,木通,利水滲濕,孕婦慎用,孕婦
大腸濕滯化熱,黃連,清熱燥濕,寒胃痛者慎用,胃寒者
大腸濕滯化熱,黃芩,清熱燥濕,腹瀉者慎用,脾虛者
大腸濕滯化熱,大黃,瀉下藥,大便稀者慎用,孕婦
大腸濕滯化熱,白頭翁,清熱解毒,腸胃虛弱者慎用,脾虛者
心陽不足,桂枝,解表藥,出汗過多者慎用,自汗體虛者
心陽不足,附子,溫裡藥,熱性體質慎用,孕婦、實熱者
心陽不足,黨參,補氣藥,高血壓慎用,高血壓患者
心陽不足,炙甘草,無資料,無資料,無資料
肺氣不足,太子參,補氣藥,陰虛者慎用,氣虛者
肺氣不足,黃耆,無資料,無資料,無資料
肺氣不足,五味子,收斂藥,肝火旺者慎用,咳嗽者
肺氣不足,炙甘草,無資料,無資料,無資料
肝血不足,當歸,補血藥,腹瀉者慎用,腸胃不佳者
肝血不足,熟地,補血藥,腸胃虛弱者慎用,脾虛者
肝血不足,白芍,補血藥,腹瀉者慎用,脾虛者
肝血不足,何首烏,補血藥,便秘者慎用,氣滯便秘者
脾氣虛弱,白朮,補氣藥,口乾便秘,實熱者
脾氣虛弱,黨參,補氣藥,高血壓慎用,高血壓患者
脾氣虛弱,陳皮,理氣藥,腸胃虛弱腹瀉,陰虛內熱者
脾氣虛弱,山藥,補氣藥,消化不良者慎用,脾虛者
精血虧損,熟地,補血藥,腸胃虛弱者慎用,脾虛者
精血虧損,阿膠,補血藥,陰虛內熱者慎用,腹瀉者
精血虧損,枸杞子,補肝腎,火旺者慎用,陰虛火旺者
精血虧損,當歸,補血藥,腹瀉者慎用,腸胃不佳者
腎陽虛乏,附子,溫裡藥,熱性體質慎用,孕婦、實熱者
腎陽虛乏,肉桂,溫裡藥,熱性體質慎用,孕婦
腎陽虛乏,巴戟天,補腎壯陽,陰虛火旺者慎用,陰虛者
腎陽虛乏,杜仲,補腎壯陽,高血壓慎用,高血壓者
心氣不足,黨參,補氣藥,高血壓慎用,高血壓患者
心氣不足,炙甘草,無資料,無資料,無資料
心氣不足,龍眼肉,補心安神,濕熱者慎用,陰虛火旺者
心氣不足,茯神,補心安神,腎虛火旺者慎用,陰虛火旺者
肺氣虛,黃耆,無資料,無資料,無資料
肺氣虛,黨參,補氣藥,高血壓慎用,高血壓患者
肺氣虛,五味子,收斂藥,肝火旺者慎用,咳嗽者
肺氣虛,麥冬,養陰藥,體質虛寒者慎用,氣虛者
脾失健運,白朮,補氣藥,口乾便秘,實熱者
脾失健運,山藥,補氣藥,消化不良者慎用,脾虛者
脾失健運,茯苓,利水滲濕,腎虛者慎用,腎病患者
脾失健運,蓮子,無資料,無資料,無資料
脾陽不振,乾薑,溫裡藥,熱性體質慎用,陰虛火旺者
脾陽不振,附子,溫裡藥,熱性體質慎用,孕婦、實熱者
脾陽不振,黨參,補氣藥,高血壓慎用,高血壓患者
脾陽不振,茯苓,利水滲濕,腎虛者慎用,腎病患者
腎氣衰敗,菟絲子,補腎壯陽,陰虛火旺者慎用,陰虛火旺者
腎氣衰敗,巴戟天,補腎壯陽,陰虛火旺者慎用,陰虛者
腎氣衰敗,補骨脂,補腎壯陽,便秘者慎用,實熱者
腎氣衰敗,山藥,補氣藥,消化不良者慎用,脾虛者
腎陽衰絕,附子,溫裡藥,熱性體質慎用,孕婦、實熱者
腎陽衰絕,鹿茸,補腎壯陽,熱證者忌用,實熱者
腎陽衰絕,熟地,補血藥,腸胃虛弱者慎用,脾虛者
腎陽衰絕,肉蓯蓉,補腎壯陽,實熱者忌用,實熱者
氣血調和無病症,無,無,無,無
