脈象名稱 (中文),脈象名稱 (拼音/英文),主要特徵,主要主治/意義,左寸對應,右寸對應,左關對應,右關對應,左尺對應,右尺對應
浮脈,Fú Mài / Floating,"表淺,輕取即得,如木漂水;有力為表實,無力為表虛",表證,傷風感冒頭痛發熱,風寒襲肺咳嗽流涕,脾虛腹脹,脾胃虛弱,下焦風熱,下焦濕熱
洪脈,Hóng Mài / Bounding,"寬大,來勢盛大有力,如洪水洶湧",實火過盛/陽熱亢盛,心火上炎,熱邪壅肺,肝火旺盛,胃火熾盛,膀胱有熱,大腸濕滯化熱
濡脈,Rú Mài / Soggy,"極軟而浮細,輕取有,重按無,如線浮水",氣血虧虛/濕困,心陽不足,肺氣不足,肝血不足,脾氣虛弱,精血虧損,腎陽虛乏
散脈,Sàn Mài / Scattered,"浮散無根,散亂,重按欲絕",元氣離散/臟腑衰竭 (危重),心氣不足,肺氣虛,脾失健運,脾陽不振,腎氣衰敗,腎陽衰絕
芤脈,Kōu Mài / Hollow,"浮大而軟,中間空虛,如按蔥管",失血過多/陰液損傷,心火上炎,熱邪壅肺,肝火旺盛,胃火熾盛,膀胱有熱,大腸濕滯化熱
革脈,Gé Mài / Leather,"浮,中空外堅,如按鼓皮",亡血/失精/陽氣浮越,心氣不足,肺氣不足,肝血不足,脾胃虛弱,精血虧損,腎陽虛乏
沉脈,Chén Mài / Deep,"部位較深,重按始得,如水中石",裡證,心陽不足,肺氣不足,肝血不足,脾氣虛弱,腎陽虛乏,腎陽衰絕
伏脈,Fú Mài / Hidden,"比沉脈更深,重按推骨始得",邪氣內伏/厥證/劇痛,心陽不足,肺氣不足,肝血不足,脾胃虛弱,腎陽虛乏,腎陽衰絕
牢脈,Láo Mài / Confined,"沉實弦長,堅著不移,重按始得",陰寒凝結/積滯實證,心陽不足,肺氣不足,肝血不足,脾氣虛弱,腎陽虛乏,腎陽衰絕
弱脈,Ruò Mài / Weak,"沉而細軟,按之欲絕",氣虛/氣血兩虛,心氣不足,肺氣不足,肝血不足,脾氣虛弱,精血虧損,腎陽虛乏
遲脈,Chí Mài / Slow,"脈來緩慢,一息三至四至 (<60次/分)",寒證,心陽不足,肺氣不足,肝血不足,脾氣虛弱,腎陽虛乏,腎陽衰絕
緩脈,Huǎn Mài / Slowed-down,"一息四至,柔和舒緩",平人脈 或 脾虛/濕邪困阻,心氣不足,肺氣不足,肝血不足,脾氣虛弱,精血虧損,腎陽虛乏
澀脈,Sè Mài / Choppy,"細而遲緩,往來艱澀,如輕刀刮竹",氣滯/血瘀/痰濁/食積 或 精傷/血少,心陽不足,肺氣不足,肝血不足,脾氣虛弱,精血虧損,腎陽虛乏
結脈,Jié Mài / Knotted,"脈來遲緩,有不規則的歇止",陰盛氣結/寒痰/瘀血,心陽不足,肺氣不足,肝血不足,脾氣虛弱,腎陽虛乏,腎陽衰絕
數脈,Shuò Mài / Rapid,"脈來急促,一息五至六至 (>90次/分)",熱證,心火上炎,熱邪壅肺,肝火旺盛,胃火熾盛,下焦濕熱,膀胱有熱
疾脈,Jí Mài / Swift,"非常迅速,一息七至八至 (130-140次/分)",急性熱病/危重症,心火上炎,熱邪壅肺,肝火旺盛,胃火熾盛,下焦濕熱,膀胱有熱
促脈,Cù Mài / Hurried,"脈率較快,間有不規則的歇止",陽盛實熱/邪氣阻滯,心火上炎,熱邪壅肺,肝火旺盛,胃火熾盛,下焦濕熱,膀胱有熱
動脈,Dòng Mài / Moving,"形短如豆,流利頻數有力",陰陽失和/氣血衝動,心火上炎,肺氣不足,肝火旺盛,脾胃虛弱,腎陽虛乏,腎陽衰絕
虛脈,Xū Mài / Deficient,"一切無力脈總稱,三部均無力",各種虛證,心氣不足,肺氣虛,肝血不足,脾氣虛弱,精血虧損,腎陽虛乏
微脈,Wēi Mài / Faint,"極細極軟,按之欲絕,若有若無",氣血嚴重虧虛,心氣不足,肺氣虛,脾失健運,脾陽不振,精血虧損,腎陽衰絕
細脈,Xì Mài / Thin,"細如絲線,應指明顯,細直而軟",氣血不足/濕困,心氣不足,肺氣不足,肝血不足,脾氣虛弱,精血虧損,腎陽虛乏
代脈,Dài Mài / Intermittent,"脈律不齊,有規則的長時歇止",臟器衰弱,心氣不足,肺氣不足,肝血不足,脾氣虛弱,精血虧損,腎陽虛乏
短脈,Duǎn Mài / Short,"搏動範圍短小,不滿寸關尺三部",氣虛不足/氣鬱,心氣不足,肺氣不足,肝血不足,脾氣虛弱,腎陽虛乏,腎陽衰絕
實脈,Shí Mài / Full,"寬大長,三部均有力",實證,心火上炎,熱邪壅肺,肝火旺盛,胃火熾盛,下焦濕熱,膀胱有熱
長脈,Cháng Mài / Long,搏動範圍超過寸關尺,生理或陽證/實熱,心火上炎,熱邪壅肺,肝火旺盛,胃火熾盛,下焦濕熱,膀胱有熱
滑脈,Huá Mài / Slippery,"往來流利,如珠走盤",痰飲/食積/實熱/妊娠,心火上炎,熱邪壅肺,肝火旺盛,胃火熾盛,下焦濕熱,膀胱有熱
弦脈,Xián Mài / Wiry,"端直而長,如按琴弦",肝膽病/痛證/痰飲,心陽不足,熱邪壅肺,肝火旺盛,脾陽不振,腎氣衰敗,大腸濕滯化熱
